@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid,fear
“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious,fear
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear
@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully,fear
@CharlieEblacker hate being shy 😩,fear
"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",fear
I'm shaking now.,fear
And they cover these police shootings fairly well they dont want to miss a chance to bully you,fear
@YahooCare data stolen in 2014 and only now do you tell us .,fear
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. ,fear
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear
The terror threat level really need to be raised,fear
#panic Panic attack from fear of starting new medication,fear
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,fear
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,fear
@priorJoan @MizQue \nActually pretty typical of trump supporters\nThis kid learned birtherism in school\nThat's horrific,fear
Has anyone else had a bad experience with Poundstretcher? #nightmare firm,fear
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,fear
I really want to go for fright night but I really don't 😁,fear
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear
Didn't concede yet but having a nightmare at the back #MUFC,fear
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,fear
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",fear
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear
Saga: When all of your devices and teles fail just in time for bake off  #gbbo,fear
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear
"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety",fear
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,fear
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",fear
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,fear
Tremor!!!\n ,fear
A Lysol can got stuck in spray position and we're all slowly suffocating from the trash can that smells like a Febreeze factory. #panic,fear
"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone ",fear
We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut16,fear
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear
"@CornflakeDaddy @youngvulgarian Yeah, it was sooo horrific, I needed to sit down",fear
Time for some despair #SDR3  #fuckthisanime,fear
@RJAH_NHS @ChrisHudson76 @mbrandreth #course day # potential Leadership #excited #nervous # proud,fear
"@HillaryClinton Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the  DEMS out.",fear
"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",fear
"@gdimelow @TheDailyShow @NivenJ1 @jordanklepper These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans.",fear
US you need to band together not apart #nevertrump he promotes hatred and fuels ,fear
Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity ,fear
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,fear
@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country).  #wakeupcall,fear
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started,fear
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear
I'm so nervous 😭,fear
My doctor has taken a liking to poking prodding and drawing blood from me post dad. Over concern is nice but dear gawd needles :O,fear
Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB 😦  #timetogrind,fear
Round 2 #panic #pcola,fear
"Rooney ! Oh dear, oh dear ! Fucking dreadful 🙈⚽️⚽️",fear
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz ,fear
Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,fear
I need to learn to be in one place at one time and try not to worry about everything all at once,fear
There goes the butterflies in my stomach.  #anxietyproblems,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,fear
Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants.,fear
penny dreadful just cleaved off a fraction of my heart,fear
Someone wake me when @Therealkiss make 2016 remix of 'Why'❗️b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much,fear
"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 #awful",fear
Been up since 4am. Too scared to go back to sleep #nightmare — feeling scared,fear
"Shame on you @SkyNews showing an elephant being hunted and killed, ",fear
Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours,fear
@christyfrink @stephenyeargin @El_Brandino I once hooked them up backward. Not recommended. #smoke #panic,fear
I was literally shaking getting the EKG done lol 🙄,fear
@SadiqKhan #terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon,fear
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear
"@iSmashFizzle that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety",fear
Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited,fear
First day of fall quarter tomorrow.  😰 #nervous #excited #anxious #blargh,fear
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,fear
Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA,fear
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear
Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,fear
@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully  #stoppickingonwomen,fear
Fingers crossed I can finish all my work early enough this Friday in time to catch @Raury at LIB 😦 #nervous #timetogrind,fear
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,fear
there are magpies gathering around me help I'm going to be swooped ! ,fear
Was actually just watching AHS while half covering my eyes #scared #Roanoke #nightmare #AHSRoanoke,fear
i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety,fear
I thought the nausea and headaches had passed but lol I feel awful today,fear
If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society. ,fear
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened,fear
❤︎I... I can't! I'm scared! Bees terrify me.,fear
@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear
"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.",fear
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep,fear
How do you ever stop being #afraid of someone that you live with,fear
@andreasarahco do you actually heely on campus bc this should scare you,fear
So I've decided to go talk to Mr. Smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning,fear
"#heavyheart these last couple of days, who are the cause of this  #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher",fear
like srsly somebody help me deal with this social anxiety,fear
"With only 7 months left until I possess my undergraduate degree, I feel like I can't handle adulthood anymore #anxiety #nojobsinbiology",fear
Just had my interview for the medical internship and I am beyond nervous😩 I was shaking so bad it was unreal😳,fear
@FoxNews Yeah we're also experiencing terrorist attacks by Islam and #BlackLivesMatter at an alarming rate.,fear
@SeanUnfiltered Texans are scared of this bunch! ,fear
And im not even going to get into how its discriminatory to several religions which mandate its followers to let their hair dread.,fear
@gowoonist i got that but you were alarming,fear
Hey @gmail why can I only see 15 sent emails? Where's the thousands gone?  #panic,fear
The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal,fear
Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left.,fear
"@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",fear
@SeanUnfiltered Texans are scared of this bunch! #intimidated,fear
Val having a nervous breakdown #floss #GBBO,fear
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel ,fear
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear
So I just opened This message Brooke sent me got me I am weak as the fuck 😩 she is a fucking bully for no reason 😂😂😂😂😭💀,fear
@megynkelly We should be ignoring these rioters like the current administration ignores #terrorism. This will obviously make it stop.,fear
Do you think humans have the sense for recognizing impending doom? #anxiety,fear
I want to slide into the dms but im too fucking shy #shy,fear
"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair",fear
This brother know we know that his life was not in danger. This gun law got people in this country fearing for their life. White people.,fear
@Pamela_Moore13 @Ginlefebvre @BarackObama yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,fear
Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,fear
